model,tau,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,target
QRNN,0.95,0.0012273486936464906,3.457428127672022e-05,0.11084634065628052,-0.3201446874379035,msci_energy_return
QRF,0.95,0.0012715113538561435,3.792707903421777e-05,0.07885268712880455,-0.44816407017469984,msci_energy_return
Q-GBM,0.95,0.0012381672902183412,3.411518896861573e-05,0.10300881796241312,-0.3026152334852097,msci_energy_return
ERNN,0.95,0.001163267414085567,2.71636237413918e-05,0.15727007389068604,-0.0371846427334388,msci_energy_return
L-ER,0.05,0.000929319707211107,1.4885939748048588e-05,0.07844221591949463,0.03263471908024862,msci_materials_return
QRNN,0.05,0.0009172181016765535,1.8362481262186588e-05,0.0904427170753479,-0.19328891190140673,msci_materials_return
QRF,0.05,0.000917972765297583,1.74273028146631e-05,0.08969435646030477,-0.13251618428659495,msci_materials_return
Q-GBM,0.05,0.0009289371115811067,1.8282739769175522e-05,0.07882158694368457,-0.18810689765889155,msci_materials_return
ERNN,0.05,0.0010255472734570503,1.3868471377481056e-05,-0.01698172092437744,0.09875507108893189,msci_materials_return
L-ER,0.1,0.0015408771578222513,2.059576963191957e-05,0.06239759922027588,0.02251519821756276,msci_materials_return
QRNN,0.1,0.0015529175288975239,2.3686380301274128e-05,0.05507117509841919,-0.12416662098664433,msci_materials_return
QRF,0.1,0.001532955735613124,2.4077408061091143e-05,0.06721765415622027,-0.14272498025785074,msci_materials_return
Q-GBM,0.1,0.0015123489776615506,2.285136847366397e-05,0.07975658112961759,-0.0845365714480959,msci_materials_return
ERNN,0.1,0.0016511727590113878,2.324977573464015e-05,-0.0047158002853393555,-0.1034451652750743,msci_materials_return
L-ER,0.25,0.0026561429258435965,2.9982794365866738e-05,-0.0018315315246582031,-0.004530464776480558,msci_materials_return
QRNN,0.25,0.002663120161741972,3.208130202908323e-05,-0.00446319580078125,-0.07483795021445205,msci_materials_return
QRF,0.25,0.002613596148046515,2.967052682541647e-05,0.0142160625204798,0.005931610696385259,msci_materials_return
Q-GBM,0.25,0.0026149187022023574,2.918053538896897e-05,0.013717227746694705,0.02234807006254269,msci_materials_return
ERNN,0.25,0.0026923150289803743,2.9758636578402914e-05,-0.015474796295166016,0.0029796199633409515,msci_materials_return
L-ER,0.5,0.0031903169583529234,3.4009831088948914e-05,-0.016847848892211914,-0.019478004029952478,msci_materials_return
QRNN,0.5,0.0031501648481935263,3.33468990762224e-05,-0.004050254821777344,0.00039403248132530155,msci_materials_return
QRF,0.5,0.0031313275631906353,3.243131452687289e-05,0.0019537648860834533,0.027839576284534817,msci_materials_return
Q-GBM,0.5,0.0031681950028032324,3.3654155782245624e-05,-0.009796972959480676,-0.008816288280401485,msci_materials_return
ERNN,0.5,0.003148013725876808,3.349653272474093e-05,-0.00336456298828125,-0.004091382719015213,msci_materials_return
L-ER,0.75,0.0025285754818469286,2.888081428147157e-05,-0.02755141258239746,-0.03837279993946141,msci_materials_return
QRNN,0.75,0.0025159253273159266,3.0310717955458373e-05,-0.02241075038909912,-0.08978316071152426,msci_materials_return
QRF,0.75,0.002440699434941962,2.8602655064083186e-05,0.008159247051539698,-0.028371940456290545,msci_materials_return
Q-GBM,0.75,0.002460668358993089,2.8222227232701587e-05,4.436310356548123e-05,-0.014694143542509197,msci_materials_return
ERNN,0.75,0.0025367315392941236,2.9778031373949925e-05,-0.030865907669067383,-0.07063109485422725,msci_materials_return
L-ER,0.9,0.0014437508070841432,1.9889527290100904e-05,0.05346477031707764,-0.05491852559430832,msci_materials_return
QRNN,0.9,0.001540973549708724,2.5704229137901334e-05,-0.01027524471282959,-0.3633238793557858,msci_materials_return
QRF,0.9,0.0014325317895678045,2.160201355209876e-05,0.06082006224830927,-0.1457469025716942,msci_materials_return
Q-GBM,0.9,0.0014185779205711706,2.1011673093587732e-05,0.06996833659104318,-0.11443589768918638,msci_materials_return
ERNN,0.9,0.0014406645204871893,1.9501874490123874e-05,0.05548816919326782,-0.03435784990656554,msci_materials_return
L-ER,0.95,0.0009307267027907073,1.4669558135169644e-05,0.022455573081970215,-0.0973499852420796,msci_materials_return
QRNN,0.95,0.0009618743206374347,1.9444087660165285e-05,-0.010258913040161133,-0.4545066122866781,msci_materials_return
QRF,0.95,0.0008972684834113921,1.643472958702006e-05,0.057596796496329095,-0.22939287629507543,msci_materials_return
Q-GBM,0.95,0.0008914699061540888,1.5418330430281536e-05,0.0636870558602487,-0.15336157464509004,msci_materials_return
ERNN,0.95,0.0009709588484838605,1.3730259507547516e-05,-0.019800424575805664,-0.02708615550286675,msci_materials_return
