model,tau,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,target,label
QRF,0.25,0.003543281420882905,6.12352580000282e-05,0.025064268590435868,0.0674407009920528,msci_energy_return,exclude_covid
Q-GBM,0.25,0.003552895446438116,6.282826572888139e-05,0.022418964443489342,0.04318058975135386,msci_energy_return,exclude_covid
ERNN,0.25,0.003598458832129836,6.497153430846727e-05,0.009882152080535889,0.0105404881261848,msci_energy_return,exclude_covid
L-ER,0.5,0.004156090784817934,6.562702046775085e-05,-0.007318973541259766,0.010759674524843721,msci_energy_return,exclude_covid
QRNN,0.5,0.004136650823056698,6.5140635288598e-05,-0.0026072263717651367,0.018091286252788885,msci_energy_return,exclude_covid
QRF,0.5,0.0041321198532159546,6.499985384030698e-05,-0.001509072261347555,0.020213379938220144,msci_energy_return,exclude_covid
Q-GBM,0.5,0.004222242700288053,6.90561580121315e-05,-0.023352303379264416,-0.040930027618027776,msci_energy_return,exclude_covid
ERNN,0.5,0.0043083070777356625,7.272665532785598e-05,-0.04421186447143555,-0.09625790831995995,msci_energy_return,exclude_covid
L-ER,0.75,0.0031481231562793255,5.113683587711468e-05,-0.017295002937316895,-0.016025509519978165,msci_energy_return,exclude_covid
QRNN,0.75,0.0032414363231509924,5.637813420294418e-05,-0.04744851589202881,-0.12016360705194473,msci_energy_return,exclude_covid
QRF,0.75,0.0030419826325130904,5.335781883114886e-05,0.017003569301968224,-0.0601536863772727,msci_energy_return,exclude_covid
Q-GBM,0.75,0.003133474384757976,5.323595362916439e-05,-0.012561381179268416,-0.05773237594976477,msci_energy_return,exclude_covid
ERNN,0.75,0.0031644036062061787,5.152772550202764e-05,-0.022555947303771973,-0.02379200158985606,msci_energy_return,exclude_covid
L-ER,0.9,0.0017671448877081275,3.314712451924066e-05,0.05392646789550781,-0.030400906917273707,msci_energy_return,exclude_covid
QRNN,0.9,0.0017283369088545442,3.899428036339098e-05,0.07470303773880005,-0.21216372260893013,msci_energy_return,exclude_covid
QRF,0.9,0.001822980190241172,4.662253704992763e-05,0.02403401125470217,-0.44929326919878876,msci_energy_return,exclude_covid
Q-GBM,0.9,0.0017123114252662046,3.807759472005296e-05,0.08328257095393066,-0.18366792600656523,msci_energy_return,exclude_covid
ERNN,0.9,0.0017820270732045174,3.407128857175826e-05,0.0459589958190918,-0.059129174954572816,msci_energy_return,exclude_covid
L-ER,0.95,0.0014177303528413177,3.895058326960853e-05,-0.11983358860015869,-0.6965832525978379,msci_energy_return,exclude_covid
QRNN,0.95,0.0011975840898230672,3.268221010574887e-05,0.054055094718933105,-0.4235496793333291,msci_energy_return,exclude_covid
QRF,0.95,0.0011427089625166403,3.3075544067912234e-05,0.0973997152823255,-0.44068225494240854,msci_energy_return,exclude_covid
Q-GBM,0.95,0.0011343631530897514,3.068216523491249e-05,0.10399188372766544,-0.336433072919047,msci_energy_return,exclude_covid
ERNN,0.95,0.0011454515624791384,2.579354531323666e-05,0.09523338079452515,-0.1234978613967388,msci_energy_return,exclude_covid
L-ER,0.05,0.0009870477952063084,1.7353607422662558e-05,0.11823821067810059,0.1612198369669633,msci_materials_return,exclude_covid
QRNN,0.05,0.0010071343276649714,2.1418444722273463e-05,0.10029423236846924,-0.03525256268049204,msci_materials_return,exclude_covid
QRF,0.05,0.0009647733832767508,1.9050019874751258e-05,0.1381366359308911,0.07922437178915787,msci_materials_return,exclude_covid
Q-GBM,0.05,0.0010195640894859982,2.1783878391224515e-05,0.08919032046265207,-0.05291566320794949,msci_materials_return,exclude_covid
ERNN,0.05,0.001032490050420165,1.9810690228352503e-05,0.07764315605163574,0.042457653050619326,msci_materials_return,exclude_covid
L-ER,0.1,0.0015568977687507868,2.3515412720782745e-05,0.09070634841918945,0.15136344100230203,msci_materials_return,exclude_covid
