target,index,model,tau,prediction,actual,pinball
eua_return,1013,ERNN,0.1,-0.013477236032485962,0.010656032711267471,0.0024133268743753433
eua_return,1013,ERNN,0.5,0.0013082325458526611,0.010656032711267471,0.004673900082707405
eua_return,1013,ERNN,0.9,0.017886430025100708,0.010656032711267471,0.0007230397313833237
eua_return,1013,ERNN,0.95,0.029570937156677246,0.010656032711267471,0.0009457452106289566
eua_return,1014,L-ER,0.05,-0.037058502435684204,0.03096078895032406,0.0034009646624326706
eua_return,1014,L-ER,0.1,-0.02975820004940033,0.03096078895032406,0.006071899086236954
eua_return,1014,L-ER,0.5,-0.004470940679311752,0.03096078895032406,0.01771586388349533
eua_return,1014,L-ER,0.9,0.020152708515524864,0.03096078895032406,0.00972727220505476
eua_return,1014,L-ER,0.95,0.027744926512241364,0.03096078895032406,0.003055069362744689
eua_return,1014,ERNN,0.05,-0.0353054404258728,0.03096078895032406,0.0033133116085082293
eua_return,1014,ERNN,0.1,-0.03077438473701477,0.03096078895032406,0.006173517554998398
eua_return,1014,ERNN,0.5,-0.006932094693183899,0.03096078895032406,0.018946442753076553
eua_return,1014,ERNN,0.9,0.018506869673728943,0.03096078895032406,0.01120852679014206
eua_return,1014,ERNN,0.95,0.024311214685440063,0.03096078895032406,0.00631709536537528
eua_return,1015,L-ER,0.05,-0.026023227721452713,-0.009752816520631313,0.0008135205134749413
eua_return,1015,L-ER,0.1,-0.020358050242066383,-0.009752816520631313,0.0010605234419927
eua_return,1015,L-ER,0.5,0.002166785066947341,-0.009752816520631313,0.005959800910204649
eua_return,1015,L-ER,0.9,0.02662886306643486,-0.009752816520631313,0.0036381680984050035
eua_return,1015,L-ER,0.95,0.03483138233423233,-0.009752816520631313,0.002229209989309311
eua_return,1015,ERNN,0.05,-0.02180662751197815,-0.009752816520631313,0.000602690561208874
eua_return,1015,ERNN,0.1,-0.023441195487976074,-0.009752816520631313,0.001368837896734476
eua_return,1015,ERNN,0.5,0.000976070761680603,-0.009752816520631313,0.005364443641155958
eua_return,1015,ERNN,0.9,0.02170974761247635,-0.009752816520631313,0.0031462565530091524
eua_return,1015,ERNN,0.95,0.03136131167411804,-0.009752816520631313,0.0020557064563035965
eua_return,1016,L-ER,0.05,-0.017305631190538406,-0.015336655080318451,9.84488069661893e-05
eua_return,1016,L-ER,0.1,-0.013866043649613857,-0.015336655080318451,0.0013235502410680056
eua_return,1016,L-ER,0.5,0.0017442455282434821,-0.015336655080318451,0.008540450595319271
eua_return,1016,L-ER,0.9,0.019802529364824295,-0.015336655080318451,0.0035139184910804033
