target,index,model,tau,prediction,actual,pinball
eua_return,1023,ERNN,0.5,0.0018931180238723755,0.025727255269885063,0.011917068623006344
eua_return,1023,ERNN,0.9,0.026058360934257507,0.025727255269885063,3.3110565709648654e-05
eua_return,1023,ERNN,0.95,0.032607316970825195,0.025727255269885063,0.0003440030850470066
eua_return,1024,L-ER,0.05,-0.010657001286745071,-0.007039718329906464,0.00018086415366269648
eua_return,1024,L-ER,0.1,-0.007908016443252563,-0.007039718329906464,8.682981570018455e-05
eua_return,1024,L-ER,0.5,0.005146739073097706,-0.007039718329906464,0.006093228701502085
eua_return,1024,L-ER,0.9,0.023637261241674423,-0.007039718329906464,0.003067698096856475
eua_return,1024,L-ER,0.95,0.03221902251243591,-0.007039718329906464,0.001962937181815505
eua_return,1024,ERNN,0.05,-0.005444586277008057,-0.007039718329906464,0.0015153754502534866
eua_return,1024,ERNN,0.1,-0.017918840050697327,-0.007039718329906464,0.0010879122419282794
eua_return,1024,ERNN,0.5,-0.0009240657091140747,-0.007039718329906464,0.0030578263103961945
eua_return,1024,ERNN,0.9,0.021361932158470154,-0.007039718329906464,0.0028401650488376617
eua_return,1024,ERNN,0.95,0.030259549617767334,-0.007039718329906464,0.0018649634439498186
eua_return,1025,L-ER,0.05,-0.03575512394309044,0.04163043573498726,0.003869278123602271
eua_return,1025,L-ER,0.1,-0.025156214833259583,0.04163043573498726,0.006678664591163397
eua_return,1025,L-ER,0.5,0.0019843163900077343,0.04163043573498726,0.01982305943965912
eua_return,1025,L-ER,0.9,0.0279365424066782,0.04163043573498726,0.012324503622949123
eua_return,1025,L-ER,0.95,0.036898184567689896,0.04163043573498726,0.00449563842266798
eua_return,1025,ERNN,0.05,-0.03353443741798401,0.04163043573498726,0.003758243517950177
eua_return,1025,ERNN,0.1,-0.02546870708465576,0.04163043573498726,0.006709914188832045
eua_return,1025,ERNN,0.5,0.0019139200448989868,0.04163043573498726,0.019858257845044136
eua_return,1025,ERNN,0.9,0.027342289686203003,0.04163043573498726,0.01285933144390583
eua_return,1025,ERNN,0.95,0.0355013906955719,0.04163043573498726,0.005822592880576849
eua_return,1026,L-ER,0.05,-0.025548622012138367,-0.013172011822462082,0.0006188304978422821
eua_return,1026,L-ER,0.1,-0.01774183288216591,-0.013172011822462082,0.0004569821176119149
