direction,target,tau,model,pred_mean,pinball_loss,expectile_loss,quantile_r_squared,expectile_r_squared,rmse,mae,elapsed_seconds
碳+股 -> 股能源,msci_energy_return,0.5,QRF,0.0008474476189629642,0.004110546674938453,6.47283580100271e-05,-0.000253682173218861,0.00599592636680224,0.011377904728905678,0.008221093349876906,0.4139549732208252
碳+股 -> 股能源,msci_energy_return,0.5,Q-GBM,0.00011598491497948242,0.004124968053497649,6.429154124033247e-05,-0.003762956765281711,0.012703923631934289,0.011339448067726443,0.008249936106995297,1.3544769287109375
碳+股 -> 股能源,msci_energy_return,0.5,ERNN,-0.0002203257754445076,0.00425364775583148,6.837860376294051e-05,-0.03507566452026367,-0.05005924419068575,0.01169432420283556,0.00850729551166296,0.5018439292907715
碳+股 -> 股能源,msci_energy_return,0.75,L-ER,0.00682811951264739,0.003093055682256818,5.1911261569057936e-05,0.009428739547729492,-0.020779701316067545,0.013381559401750565,0.009605499915778637,0.18521809577941895
碳+股 -> 股能源,msci_energy_return,0.75,QRNN,0.008776132948696613,0.003263127291575074,5.8331959933929615e-05,-0.04503774642944336,-0.14703590008741285,0.014625000767409801,0.010919650085270405,0.5655310153961182
碳+股 -> 股能源,msci_energy_return,0.75,QRF,0.008555899787245802,0.0030957209824481213,5.5808327282738195e-05,0.008575157273198797,-0.09741135030667425,0.014385494903815538,0.010474719706182418,0.46016693115234375
碳+股 -> 股能源,msci_energy_return,0.75,Q-GBM,0.007560293996758705,0.0031031188217588283,5.365691456024356e-05,0.006205950966584051,-0.05510610921069081,0.013784225580700814,0.009991712489560284,1.3544371128082275
碳+股 -> 股能源,msci_energy_return,0.75,ERNN,0.007058963645249605,0.0031273786444216967,5.334829420034143e-05,-0.001563429832458496,-0.049037418347112505,0.013576592318713665,0.00978956650942564,0.5173113346099854
碳+股 -> 股能源,msci_energy_return,0.9,L-ER,0.014081651344895363,0.001724165864288807,3.602197274593492e-05,0.13291800022125244,-0.02057071443276337,0.018246155232191086,0.01472217682749033,0.18224382400512695
碳+股 -> 股能源,msci_energy_return,0.9,QRNN,0.016262385994195938,0.001810665475204587,4.191792914341083e-05,0.08941739797592163,-0.18761432626591756,0.02025030367076397,0.016639763489365578,0.5537190437316895
碳+股 -> 股能源,msci_energy_return,0.9,QRF,0.019147413850612475,0.001982959072007405,5.07167960210801e-05,0.0027710187709589773,-0.4369028901898655,0.022416522957775378,0.019292373780766033,0.446943998336792
碳+股 -> 股能源,msci_energy_return,0.9,Q-GBM,0.015197977726439873,0.0017461681204122435,3.8027643247811977e-05,0.12185305266510904,-0.07739515854232093,0.019073612778198284,0.015659242978237627,1.3593053817749023
碳+股 -> 股能源,msci_energy_return,0.9,ERNN,0.01366074662655592,0.0017916393699124455,3.8085049991468754e-05,0.09898561239242554,-0.07902160031996264,0.01801302470266819,0.014520400203764439,0.2254798412322998
